"WHO_region","Country","ISO2","Country_ID","ADMIN1_NAME","ADMIN1_ID","IU_Name","District_ID","IU_ID","Endemicity","MDA_start_APOC","LF_MDA_duration","start_year","end_year","Period","PopReq","PopTreat","Cov","MDA","EffMDA","MDA_n","EffMDA_n","MDA_left","Mapping_gap","Composite_IU_ID"
"AFRO","Nigeria","NG",34,"Katsina",474,"Daura",2008,36759,"Endemic",2015,2,2017,2017,"Annual",230634,208195,90.27073198,1,1,1,1,4,0,"ANGA0379536759"
"AFRO","Nigeria","NG",34,"Katsina",474,"Dutsi",2009,36760,"Endemic",2015,2,2017,2017,"Annual",125985,138145,109.6519427,1,1,1,1,3,0,"ANGA0379536760"
"AFRO","Nigeria","NG",34,"Katsina",474,"Dutsin-Ma",2010,36761,"Endemic",2015,2,2017,2017,"Annual",178098,166593,93.54007344,1,1,1,1,4,0,"ANGA0379536761"
"AFRO","Nigeria","NG",34,"Katsina",474,"Faskari",2011,36762,"Endemic",2015,2,2017,2017,"Annual",205772,183425,89.13992186,1,1,1,1,3,0,"ANGA0379536762"
"AFRO","Nigeria","NG",34,"Edo",465,"Uhunmuonde",1827,36578,"Non-endemic",null,null,2017,2017,"Annual",0,0,0,999,999,999,999,999,0,"ANGA0378636578"
"AFRO","Nigeria","NG",34,"Ekiti",466,"Ado Ekiti",1828,36579,"Endemic",2011,6,2017,2017,"Annual",323949,312181,96.36732943,1,1,1,1,3,0,"ANGA0378736579"
"AFRO","Nigeria","NG",34,"Ekiti",466,"Efon",1829,36581,"Endemic",2008,9,2017,2017,"Annual",91259,89116,97.65173846,1,1,1,1,3,0,"ANGA0378736581"
"AFRO","Nigeria","NG",34,"Ekiti",466,"Ekiti East",1830,36582,"Endemic",2011,6,2017,2017,"Annual",144808,152488,105.3035744,1,1,1,1,0,0,"ANGA0378736582"
"AFRO","Nigeria","NG",34,"Ekiti",466,"Ekiti South West",1831,36583,"Endemic",2009,8,2017,2017,"Annual",173486,166699,96.08786876,1,1,1,1,3,0,"ANGA0378736583"
"AFRO","Nigeria","NG",34,"Ekiti",466,"Ekiti West",1832,36584,"Endemic",2009,8,2017,2017,"Annual",188828,188901,100.0386595,1,1,1,1,3,0,"ANGA0378736584"
"AFRO","Nigeria","NG",34,"Ekiti",466,"Emure",1833,36585,"Endemic",2011,6,2017,2017,"Annual",98548,98627,100.080164,1,1,1,1,1,0,"ANGA0378736585"
"AFRO","Nigeria","NG",34,"Ekiti",466,"Gbonyin",1834,36580,"Endemic",2011,6,2017,2017,"Annual",155554,159862,102.7694563,1,1,1,1,3,0,"ANGA0378736580"
"AFRO","Nigeria","NG",34,"Ekiti",466,"Ido-Osi",1835,36586,"Endemic",2009,8,2017,2017,"Annual",167017,156505,93.70602993,1,1,1,1,4,0,"ANGA0378736586"
