,state_names,total_treatment_mbd_alb,total_target_alb,total_target_mbd,lf_alb_total_procured,sth_mbd_total_procured,schisto_pzq_total_treatment,schisto_pzq_total_procured,lf_ivm_total_treatment,lf_ivm_total_procured,oncho_ivm_total_treatment,oncho_ivm_total_procured,state,population,lf_yld,oncho_yld,schisto_yld,WHO_region,Country,ISO2,Country_ID,ADMIN1_NAME,ADMIN1_ID,IU_Name,District_ID,IU_ID,Endemicity,MDA_start_APOC,LF_MDA_duration,start_year,end_year,Period,PopReq,PopTreat,Cov,MDA,EffMDA,MDA_n,EffMDA_n,MDA_left,Mapping_gap,Composite_IU_ID,alb_ratio,mbd_ratio,pzq_ratio,oncho_ivm_ratio,lf_ivm_ratio
45,Akwa Ibom,1054449,0,3850694,1345455,2107742,6620.79,0.0,949701,2659162.8,428945.29763499997,1201046.833378,Akwa Ibom,5482177,21688.361859493398,50673.01720124146,56791.36295187563,AFRO,Nigeria,NG,34,Akwa Ibom,456,Ukanafun,1651,36402,Non-endemic,,,2017,2017,Annual,0,0,0.0,999,999,999,999,999,0,ANGA0377736402,0.0,0.5473667863507201,0.0,2.8000000000000003,2.8
46,Akwa Ibom,1054449,0,3850694,1345455,2107742,6620.79,0.0,949701,2659162.8,428945.29763499997,1201046.833378,Akwa Ibom,5482177,21688.361859493398,50673.01720124146,56791.36295187563,AFRO,Nigeria,NG,34,Akwa Ibom,456,Uruan,1652,36403,Endemic,2015.0,2.0,2017,2017,Annual,124176,120989,97.43348151,1,1,1,1,1,0,ANGA0377736403,0.0,0.5473667863507201,0.0,2.8000000000000003,2.8
47,Akwa Ibom,1054449,0,3850694,1345455,2107742,6620.79,0.0,949701,2659162.8,428945.29763499997,1201046.833378,Akwa Ibom,5482177,21688.361859493398,50673.01720124146,56791.36295187563,AFRO,Nigeria,NG,34,Akwa Ibom,456,Urue-Offong-Oruko,1653,36404,Non-endemic,,,2017,2017,Annual,0,0,0.0,999,999,999,999,999,0,ANGA0377736404,0.0,0.5473667863507201,0.0,2.8000000000000003,2.8
48,Akwa Ibom,1054449,0,3850694,1345455,2107742,6620.79,0.0,949701,2659162.8,428945.29763499997,1201046.833378,Akwa Ibom,5482177,21688.361859493398,50673.01720124146,56791.36295187563,AFRO,Nigeria,NG,34,Akwa Ibom,456,Uyo,1654,36405,Non-endemic,,,2017,2017,Annual,0,0,0.0,999,999,999,999,999,0,ANGA0377736405,0.0,0.5473667863507201,0.0,2.8000000000000003,2.8
49,Akwa Ibom,1054449,0,3850694,1345455,2107742,6620.79,0.0,949701,2659162.8,428945.29763499997,1201046.833378,Akwa Ibom,5482177,21688.361859493398,50673.01720124146,56791.36295187563,AFRO,Nigeria,NG,34,Akwa Ibom,456,Nsit-Atai,1642,36393,Non-endemic,,,2017,2017,Annual,0,0,0.0,999,999,999,999,999,0,ANGA0377736393,0.0,0.5473667863507201,0.0,2.8000000000000003,2.8
50,Akwa Ibom,1054449,0,3850694,1345455,2107742,6620.79,0.0,949701,2659162.8,428945.29763499997,1201046.833378,Akwa Ibom,5482177,21688.361859493398,50673.01720124146,56791.36295187563,AFRO,Nigeria,NG,34,Akwa Ibom,456,Mpkat-Enin,1640,36392,Non-endemic,,,2017,2017,Annual,0,0,0.0,999,999,999,999,999,0,ANGA0377736392,0.0,0.5473667863507201,0.0,2.8000000000000003,2.8
51,Akwa Ibom,1054449,0,3850694,1345455,2107742,6620.79,0.0,949701,2659162.8,428945.29763499997,1201046.833378,Akwa Ibom,5482177,21688.361859493398,50673.01720124146,56791.36295187563,AFRO,Nigeria,NG,34,Akwa Ibom,456,Nsit-Ibom,1643,36394,Non-endemic,,,2017,2017,Annual,0,0,0.0,999,999,999,999,999,0,ANGA0377736394,0.0,0.5473667863507201,0.0,2.8000000000000003,2.8
52,Akwa Ibom,1054449,0,3850694,1345455,2107742,6620.79,0.0,949701,2659162.8,428945.29763499997,1201046.833378,Akwa Ibom,5482177,21688.361859493398,50673.01720124146,56791.36295187563,AFRO,Nigeria,NG,34,Akwa Ibom,456,Abak,1624,36375,Non-endemic,,,2017,2017,Annual,0,0,0.0,999,999,999,999,999,0,ANGA0377736375,0.0,0.5473667863507201,0.0,2.8000000000000003,2.8
53,Akwa Ibom,1054449,0,3850694,1345455,2107742,6620.79,0.0,949701,2659162.8,428945.29763499997,1201046.833378,Akwa Ibom,5482177,21688.361859493398,50673.01720124146,56791.36295187563,AFRO,Nigeria,NG,34,Akwa Ibom,456,Eastern Obolo,1625,36376,Endemic,2011.0,6.0,2017,2017,Annual,63551,63590,100.061368,1,1,1,1,2,0,ANGA0377736376,0.0,0.5473667863507201,0.0,2.8000000000000003,2.8
54,Akwa Ibom,1054449,0,3850694,1345455,2107742,6620.79,0.0,949701,2659162.8,428945.29763499997,1201046.833378,Akwa Ibom,5482177,21688.361859493398,50673.01720124146,56791.36295187563,AFRO,Nigeria,NG,34,Akwa Ibom,456,Eket,1626,36377,Non-endemic,,,2017,2017,Annual,0,0,0.0,999,999,999,999,999,0,ANGA0377736377,0.0,0.5473667863507201,0.0,2.8000000000000003,2.8
