"WHO_region","Country","ISO2","Country_ID","ADMIN1_NAME","ADMIN1_ID","IU_Name","District_ID","IU_ID","Endemicity","MDA_status","MDA_start_APOC","IVM_APOC_duration","start_year","end_year","Period","PopReq","PopTreat","Cov","MDA","EffMDA","MDA_n","EffMDA_n","Composite_IU_ID"
"AFRO","Nigeria","NG",34,"Oyo",484,"Kajola",2235,36986,"Endemic (under MDA)","Under PC (Endemic)","1999",15,2017,2017,"Annual",210980,116397,55.1696843302683,1,0,1,0,"ANGA0380536986"
"AFRO","Nigeria","NG",34,"Oyo",484,"Ogbomosho North",2237,36988,"Endemic (under MDA)","Under PC (Endemic)","2015",1,2017,2017,"Annual",208591,14347,6.87805322377284,1,0,1,0,"ANGA0380536988"
"AFRO","Nigeria","NG",34,"Oyo",484,"Ogbomosho South",2238,36989,"Endemic (under MDA)","Under PC (Endemic)","2015",1,2017,2017,"Annual",105823,10636,10.0507451121212,1,0,1,0,"ANGA0380536989"
"AFRO","Nigeria","NG",34,"Oyo",484,"Ogo-Oluwa",2239,36990,"Endemic (under MDA)","Under PC (Endemic)","2015",2,2017,2017,"Annual",68422,67301,98.3616380696267,1,1,1,1,"ANGA0380536990"
"AFRO","Nigeria","NG",34,"Oyo",484,"Olorunsogo",2240,36991,"Endemic (under MDA)","Under PC (Endemic)","1999",15,2017,2017,"Annual",85820,42561,49.5933348869727,1,0,1,0,"ANGA0380536991"
"AFRO","Nigeria","NG",34,"Oyo",484,"Oluyole",2241,36992,"Endemic (under MDA)","Under PC (Endemic)","1999",15,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0380536992"
"AFRO","Nigeria","NG",34,"Oyo",484,"Ona-Ara",2242,36993,"Endemic (under MDA)","Under PC (Endemic)","1999",15,2017,2017,"Annual",278224,13626,4.89749266777848,1,0,1,0,"ANGA0380536993"
"AFRO","Nigeria","NG",34,"Oyo",484,"Oyo-East",2245,36996,"Endemic (under MDA)","Under PC (Endemic)","1999",15,2017,2017,"Annual",129997,17580,13.5233890012846,1,0,1,0,"ANGA0380536996"
"AFRO","Nigeria","NG",34,"Oyo",484,"Orelope",2243,36994,"Endemic (under MDA)","Under PC (Endemic)","1999",15,2017,2017,"Annual",109629,102324,93.3366171359768,1,1,1,1,"ANGA0380536994"
"AFRO","Nigeria","NG",34,"Oyo",484,"Orire",2244,36995,"Endemic (under MDA)","Under PC (Endemic)","1999",15,2017,2017,"Annual",158109,69274,43.8140776299894,1,0,1,0,"ANGA0380536995"
"AFRO","Nigeria","NG",34,"Oyo",484,"Oyo-West",2246,36997,"Endemic (under MDA)","Under PC (Endemic)","1999",15,2017,2017,"Annual",143003,124013,86.7205583099655,1,1,1,1,"ANGA0380536997"
"AFRO","Nigeria","NG",34,"Oyo",484,"Saki West",2248,36999,"Endemic (under MDA)","Under PC (Endemic)","1999",15,2017,2017,"Annual",291811,21853,7.48875128079476,1,0,1,0,"ANGA0380536999"
"AFRO","Nigeria","NG",34,"Oyo",484,"Saki East",2247,36998,"Endemic (under MDA)","Under PC (Endemic)","1999",15,2017,2017,"Annual",115697,90595,78.3036725239202,1,1,1,1,"ANGA0380536998"
"AFRO","Nigeria","NG",34,"Oyo",484,"Surulere (Oyo)",2249,37000,"Endemic (under MDA)","Under PC (Endemic)","2015",1,2017,2017,"Annual",149126,29660,19.8892211954991,1,0,1,0,"ANGA0380537000"
"AFRO","Nigeria","NG",34,"Plateau",485,"Barkin Ladi",2250,37001,"Consider Oncho Elimination Mapping","PC Not yet required",null,8,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0380637001"
"AFRO","Nigeria","NG",34,"Plateau",485,"Bassa (Plateau)",2251,37002,"Endemic (under MDA)","Under PC (Endemic)","1998",15,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0380637002"
"AFRO","Nigeria","NG",34,"Plateau",485,"Bokkos",2252,37003,"Endemic (under MDA)","Under PC (Endemic)","1998",15,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0380637003"
"AFRO","Nigeria","NG",34,"Plateau",485,"Jos East",2253,37004,"Endemic (under MDA)","Under PC (Endemic)","1998",15,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0380637004"
"AFRO","Nigeria","NG",34,"Plateau",485,"Jos North",2254,37005,"Consider Oncho Elimination Mapping","PC Not yet required",null,9,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0380637005"
"AFRO","Nigeria","NG",34,"Plateau",485,"Jos South",2255,37006,"Consider Oncho Elimination Mapping","PC Not yet required",null,11,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0380637006"
"AFRO","Nigeria","NG",34,"Kwara",477,"Patigi",2090,36841,"Endemic (under MDA)","Under PC (Endemic)","1999",15,2017,2017,"Annual",117896,119546,101.399538576372,1,1,1,1,"ANGA0379836841"
"AFRO","Nigeria","NG",34,"Lagos",478,"Agege",2091,36842,"Consider Oncho Elimination Mapping","PC Not yet required",null,0,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0379936842"
"AFRO","Nigeria","NG",34,"Lagos",478,"Ajeromi-Ifelodun",2092,36843,"Consider Oncho Elimination Mapping","PC Not yet required",null,0,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0379936843"
"AFRO","Nigeria","NG",34,"Lagos",478,"Alimosho",2093,36844,"Consider Oncho Elimination Mapping","PC Not yet required",null,0,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0379936844"
"AFRO","Nigeria","NG",34,"Lagos",478,"Amuwo Odofin",2094,36845,"Consider Oncho Elimination Mapping","PC Not yet required",null,0,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0379936845"
"AFRO","Nigeria","NG",34,"Lagos",478,"Apapa",2095,36846,"Consider Oncho Elimination Mapping","PC Not yet required",null,0,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0379936846"
"AFRO","Nigeria","NG",34,"Lagos",478,"Epe",2097,36848,"Consider Oncho Elimination Mapping","PC Not yet required",null,0,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0379936848"
"AFRO","Nigeria","NG",34,"Borno",461,"Gwoza",1737,36488,"Endemic (under MDA)","Under PC (Endemic)","1999",13,2017,2017,"Annual",290036,120131,41.4193410473183,1,0,1,0,"ANGA0378236488"
"AFRO","Nigeria","NG",34,"Borno",461,"Kala/Balge",1741,36492,"Endemic (under MDA)","Under PC (Endemic)","1999",16,2017,2017,"Annual",63817,65880,103.232680947083,1,1,1,1,"ANGA0378236492"
"AFRO","Nigeria","NG",34,"Borno",461,"Konduga",1742,36493,"Consider Oncho Elimination Mapping","PC Not yet required",null,0,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0378236493"
"AFRO","Nigeria","NG",34,"Lagos",478,"Badagry",2096,36847,"Consider Oncho Elimination Mapping","PC Not yet required",null,0,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0379936847"
"AFRO","Nigeria","NG",34,"Lagos",478,"Eti-Osa+Lagoon",2098,36849,"Consider Oncho Elimination Mapping","PC Not yet required",null,0,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0379936849"
"AFRO","Nigeria","NG",34,"Lagos",478,"Ijebu-Lekki",2100,36850,"Consider Oncho Elimination Mapping","PC Not yet required",null,0,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0379936850"
